Question,Answer
"1.  What year did leaders from 193 countries come together to address global challenges, and what was the name of the plan they created?","In 2015, leaders from 193 countries came together and created a plan called the Sustainable Development Goals (SDGs)."
2.  By what year does the UNDP aim to fulfill the Sustainable Development Goals (SDGs)?,The UNDP aims to fulfill the SDGs by the year 2030.
"3.  What was the world's commitment regarding poverty reduction by 2015, and was this goal met?","The world committed to halving the number of people living in extreme poverty by the year 2015, and this goal was met."
4.  What are some of the actions mentioned to achieve the goal of ending hunger and malnutrition?,"Some of the actions mentioned to achieve the goal of ending hunger and malnutrition include:
*   Promoting sustainable agriculture
*   Supporting small farmers"
"5.  What are some of the key achievements in healthcare mentioned in the text, and what are some remaining challenges?","The text mentions that in the 25 years before the SDGs, preventable child deaths dropped by more than half, and maternal mortality went down by almost as much.

Some remaining challenges include the fact that 6 million children die every year before their fifth birthday, and AIDS is the leading cause of death for adolescents in sub-Saharan Africa."
"6.  What is the current enrollment rate in developing regions for primary education, and what is the ultimate goal?",The current enrollment rate in developing regions for primary education is 91%. The ultimate goal is to achieve universal primary and secondary education.
"7.  What are some of the inequalities that still exist for women and girls, and what are some grounds for hope?","There are still gross inequalities in work and wages, lots of unpaid “women’s work” such as child care and domestic work, and discrimination in public decision-making. More girls are in school now compared to in 2000. Most regions have reached gender parity in primary education. The percentage of women getting paid for their work is on the rise."
"8.  What percentage of the world's population is affected by water scarcity, and what is the projected increase by 2050 if current trends continue?","Water scarcity affects more than 40 percent of people around the world. If current trends continue, by 2050 at least one in four people are likely to be affected by recurring water shortages."
9.  What are some of the ways mentioned to address climate change and its impacts?,"The text mentions the following ways to address climate change and its impacts:

*   Helping more vulnerable regions become more resilient.
*   Limiting the increase in global mean temperature to two degrees Celsius above pre-industrial levels.
*   Working together to meet this urgent challenge."
10. What are some of the ways individuals can support the Sustainable Development Goals?,"The text mentions the following ways individuals can support the Sustainable Development Goals:

*   Go shopping for SDG merchandise.
*   Make a donation.
*   Start a fundraiser.
*   Spread the word by sharing content on social media."
